strategy,stop_config,period,return_pct,buy_hold_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits,signal_exits,time_in_market_pct
2_EMA_Cross_21_55,pivot_b0.5,bull_2016_2017,560.12,4400.04,-59.82,1.88,2.17,39.22,153,45,107,64.15
2_EMA_Cross_21_55,pivot_b1,bull_2016_2017,778.98,4400.04,-50.36,2.15,2.43,41.96,143,30,112,64.21
2_EMA_Cross_21_55,break_low3,bull_2016_2017,178.8,4400.04,-69.88,1.16,1.69,24.39,246,162,83,63.55
2_EMA_Cross_21_55,break_low5,bull_2016_2017,304.76,4400.04,-67.54,1.46,1.87,29.33,208,119,88,63.79
2_EMA_Cross_21_55,break_low8,bull_2016_2017,552.35,4400.04,-53.79,1.89,2.19,34.09,176,81,94,63.99
6_BB_Squeeze_Break,sin_SL,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,0,22.56
6_BB_Squeeze_Break,fix_low3_b0.5,bull_2016_2017,-100.36,4400.04,-100.27,0.32,1.38,49.27,205,21,183,22.54
6_BB_Squeeze_Break,fix_low5_b0.5,bull_2016_2017,-100.41,4400.04,-100.3,0.39,1.44,50.0,204,13,190,22.55
6_BB_Squeeze_Break,fix_low5_b1,bull_2016_2017,-100.42,4400.04,-100.3,0.41,1.45,50.25,203,9,193,22.56
6_BB_Squeeze_Break,fix_low8_b0.5,bull_2016_2017,-100.42,4400.04,-100.3,0.41,1.45,50.25,203,9,193,22.56
6_BB_Squeeze_Break,fix_low10_b0.5,bull_2016_2017,-100.42,4400.04,-100.3,0.42,1.46,50.25,203,8,194,22.56
6_BB_Squeeze_Break,fix_low20_b0.5,bull_2016_2017,-100.43,4400.04,-100.31,0.43,1.48,50.25,203,7,195,22.56
6_BB_Squeeze_Break,fix_low50_b0.5,bull_2016_2017,-100.46,4400.04,-100.33,0.47,1.51,50.74,203,6,196,22.56
6_BB_Squeeze_Break,trail_low3_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trail_low5_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trail_low8_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trail_low10_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trail_low20_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trade_low_b0.5,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,trade_low_b1,bull_2016_2017,572.92,4400.04,-18.27,2.77,3.25,50.99,202,0,201,22.56
6_BB_Squeeze_Break,entry_low_b0.5,bull_2016_2017,-100.26,4400.04,-100.21,0.12,1.23,45.7,221,51,169,22.45
6_BB_Squeeze_Break,entry_low_b1,bull_2016_2017,-100.3,4400.04,-100.23,0.2,1.29,47.39,211,32,178,22.51
6_BB_Squeeze_Break,pivot_b0.5,bull_2016_2017,-100.41,4400.04,-100.3,0.39,1.44,50.0,204,12,191,22.55
6_BB_Squeeze_Break,pivot_b1,bull_2016_2017,-100.42,4400.04,-100.3,0.41,1.45,50.25,203,9,193,22.56
