strategy,stop_config,avg_return,avg_dd,avg_sharpe,avg_pf,total_trades,total_stop_exits,composite
10_Supertrend_Bull,entry_low_b0.5,157.84,-55.61,0.74,1.42,461,236,36.5
2_EMA_Cross_21_55,entry_low_b0.5,131.84,-56.64,1.09,1.6,371,229,29.62
2_EMA_Cross_21_55,break_low3,127.76,-58.41,1.16,1.65,393,255,28.19
1_EMA_Cross_12_26,fix_low50_b0.5,43.5,-69.77,1.33,1.72,447,24,0.63
1_EMA_Cross_12_26,fix_low20_b0.5,40.1,-70.1,1.3,1.69,447,33,-0.6
1_EMA_Cross_12_26,fix_low10_b0.5,35.45,-70.35,1.27,1.67,447,36,-2.14
1_EMA_Cross_12_26,fix_low8_b0.5,32.94,-70.35,1.25,1.66,447,39,-2.95
1_EMA_Cross_12_26,break_low8,18.01,-71.99,1.1,1.58,465,94,-8.33
1_EMA_Cross_12_26,fix_low5_b1,11.52,-73.78,1.11,1.6,449,44,-10.7
1_EMA_Cross_12_26,pivot_b1,10.96,-73.9,1.1,1.6,450,42,-10.93
1_EMA_Cross_12_26,pivot_b0.5,5.64,-74.4,1.04,1.56,456,66,-12.84
1_EMA_Cross_12_26,fix_low5_b0.5,3.24,-74.5,1.03,1.54,456,73,-13.64
1_EMA_Cross_12_26,fix_low3_b0.5,-3.84,-74.8,0.9,1.48,469,114,-16.25
1_EMA_Cross_12_26,break_low5,-10.14,-75.71,0.79,1.43,513,190,-18.74
1_EMA_Cross_12_26,entry_low_b1,-34.46,-78.52,0.57,1.36,518,168,-27.44
1_EMA_Cross_12_26,break_low3,-43.82,-81.34,0.36,1.29,602,323,-31.61
6_BB_Squeeze_Break,fix_low50_b0.5,-56.44,-72.16,0.14,1.33,332,9,-33.74
6_BB_Squeeze_Break,fix_low20_b0.5,-56.94,-72.47,0.11,1.31,332,11,-34.08
6_BB_Squeeze_Break,fix_low10_b0.5,-56.94,-72.47,0.1,1.3,332,12,-34.1
6_BB_Squeeze_Break,pivot_b1,-56.98,-72.7,0.1,1.3,332,12,-34.19
6_BB_Squeeze_Break,fix_low5_b1,-56.98,-72.7,0.1,1.3,332,12,-34.19
6_BB_Squeeze_Break,fix_low8_b0.5,-57.78,-73.0,0.07,1.29,332,15,-34.58
6_BB_Squeeze_Break,fix_low5_b0.5,-58.26,-73.31,0.05,1.28,333,23,-34.89
6_BB_Squeeze_Break,pivot_b0.5,-58.66,-73.36,0.04,1.27,333,22,-35.05
6_BB_Squeeze_Break,fix_low3_b0.5,-59.1,-73.38,-0.01,1.24,334,35,-35.36
1_EMA_Cross_12_26,entry_low_b0.5,-53.32,-83.71,0.22,1.25,607,297,-35.53
6_BB_Squeeze_Break,break_low8,-59.63,-73.7,-0.01,1.24,334,41,-35.61
6_BB_Squeeze_Break,entry_low_b1,-60.76,-74.05,-0.12,1.18,341,54,-36.39
6_BB_Squeeze_Break,break_low5,-61.26,-74.54,-0.1,1.2,338,61,-36.61
6_BB_Squeeze_Break,break_low3,-62.34,-75.22,-0.19,1.16,350,94,-37.37
6_BB_Squeeze_Break,entry_low_b0.5,-66.44,-76.4,-0.36,1.1,360,99,-39.45
