strategy,stop_loss,stop_kind,avg_return,avg_dd,avg_sharpe,avg_pf,total_trades,total_stop_exits,score
2_EMA_Cross_21_55,break_low5,break_low,318.28,-46.22,1.74,1.98,258,93,74.23
10_Supertrend_Bull,fixed_3pct,fixed_pct,294.58,-52.02,1.16,1.58,369,92,63.86
2_EMA_Cross_21_55,trail_12pct,trail_pct,272.19,-45.58,1.77,2.05,225,26,63.04
2_EMA_Cross_21_55,atr_fix_2.0x,atr_fixed,273.82,-48.48,1.69,1.95,305,143,62.18
10_Supertrend_Bull,atr_fix_2.0x,atr_fixed,240.44,-47.54,1.25,1.6,432,194,52.06
2_EMA_Cross_21_55,atr_fix_1.5x,atr_fixed,200.78,-54.53,1.48,1.82,359,215,41.17
2_EMA_Cross_21_55,trail_10pct,trail_pct,180.9,-49.51,1.5,1.84,239,44,37.8
10_Supertrend_Bull,trail_8pct,trail_pct,170.97,-47.82,1.23,1.6,342,53,34.53
10_Supertrend_Bull,entry_low_b0.5,entry_low,157.84,-55.61,0.74,1.42,461,236,26.71
2_EMA_Cross_21_55,entry_low_b0.5,entry_low,131.84,-56.64,1.09,1.6,371,229,21.51
10_Supertrend_Bull,atr_fix_1.5x,atr_fixed,125.65,-56.86,0.77,1.42,508,291,18.46
2_EMA_Cross_21_55,trail_8pct,trail_pct,55.82,-56.2,0.87,1.46,278,93,1.62
1_EMA_Cross_12_26,fixed_15pct,fixed_pct,57.4,-69.92,1.62,1.94,441,2,1.34
1_EMA_Cross_12_26,fixed_20pct,fixed_pct,57.4,-69.92,1.62,1.94,441,2,1.34
1_EMA_Cross_12_26,fixed_12pct,fixed_pct,57.45,-69.9,1.6,1.92,441,3,1.27
1_EMA_Cross_12_26,fixed_10pct,fixed_pct,57.58,-69.9,1.55,1.88,441,4,1.06
1_EMA_Cross_12_26,trail_20pct,trail_pct,57.78,-69.8,1.44,1.8,445,7,0.63
1_EMA_Cross_12_26,trail_15pct,trail_pct,57.86,-69.75,1.37,1.74,447,10,0.34
1_EMA_Cross_12_26,fixed_8pct,fixed_pct,52.09,-70.82,1.42,1.79,443,11,-1.16
1_EMA_Cross_12_26,atr_fix_4.0x,atr_fixed,43.78,-70.12,1.34,1.73,448,35,-3.43
1_EMA_Cross_12_26,fix_low20_b0.5,fixed_swing,40.1,-70.1,1.3,1.69,447,33,-4.55
1_EMA_Cross_12_26,breakeven_8pct,breakeven,38.44,-70.72,1.32,1.74,448,17,-5.02
1_EMA_Cross_12_26,breakeven_10pct,breakeven,38.21,-70.77,1.32,1.74,447,16,-5.09
1_EMA_Cross_12_26,fixed_5pct,fixed_pct,34.96,-72.38,1.26,1.68,450,23,-6.67
1_EMA_Cross_12_26,atr_fix_3.0x,atr_fixed,28.54,-71.68,1.23,1.67,460,70,-8.2
1_EMA_Cross_12_26,trail_12pct,trail_pct,27.54,-70.74,1.16,1.62,452,18,-8.47
1_EMA_Cross_12_26,breakeven_5pct,breakeven,20.39,-72.74,1.17,1.66,459,32,-10.82
1_EMA_Cross_12_26,atr_fix_2.5x,atr_fixed,17.05,-72.84,1.1,1.6,480,118,-11.99
1_EMA_Cross_12_26,trail_10pct,trail_pct,15.95,-72.02,1.04,1.56,462,30,-12.29
1_EMA_Cross_12_26,fixed_3pct,fixed_pct,4.17,-72.9,1.0,1.54,464,64,-15.69
1_EMA_Cross_12_26,break_low5,break_low,3.38,-74.51,1.01,1.54,457,85,-16.33
1_EMA_Cross_12_26,atr_fix_2.0x,atr_fixed,-3.84,-73.4,0.86,1.47,517,188,-18.49
1_EMA_Cross_12_26,trail_8pct,trail_pct,-15.05,-74.41,0.58,1.34,489,67,-22.86
1_EMA_Cross_12_26,atr_fix_1.5x,atr_fixed,-27.9,-76.78,0.52,1.34,599,300,-27.02
10_Supertrend_Bull,trail_5pct,trail_pct,-27.2,-67.18,-0.4,1.04,449,208,-28.01
1_EMA_Cross_12_26,entry_low_b0.5,entry_low,-53.32,-83.71,0.22,1.25,607,297,-36.79
10_Supertrend_Bull,atr_trail_4.0x,atr_trail,-57.02,-77.96,-0.73,0.97,553,458,-40.1
2_EMA_Cross_21_55,trail_5pct,trail_pct,-70.75,-79.4,-1.0,0.88,454,290,-45.18
1_EMA_Cross_12_26,atr_trail_4.0x,atr_trail,-74.12,-86.33,-0.94,0.9,779,459,-47.82
2_EMA_Cross_21_55,atr_trail_4.0x,atr_trail,-76.03,-83.97,-1.3,0.86,699,548,-49.12
1_EMA_Cross_12_26,trail_5pct,trail_pct,-79.3,-90.0,-0.94,0.9,618,237,-50.24
10_Supertrend_Bull,atr_trail_3.0x,atr_trail,-93.78,-94.85,-3.01,0.64,893,812,-64.18
10_Supertrend_Bull,chandelier_3.0x,chandelier,-94.19,-94.83,-3.07,0.62,860,774,-64.52
1_EMA_Cross_12_26,chandelier_3.0x,chandelier,-95.48,-95.76,-3.06,0.58,1100,805,-65.1
1_EMA_Cross_12_26,atr_trail_3.0x,atr_trail,-96.54,-96.75,-3.27,0.57,1142,873,-66.55
2_EMA_Cross_21_55,chandelier_3.0x,chandelier,-97.08,-97.26,-3.88,0.56,1031,894,-69.39
2_EMA_Cross_21_55,atr_trail_3.0x,atr_trail,-97.34,-97.5,-3.98,0.56,1080,947,-69.99
1_EMA_Cross_12_26,atr_trail_2.5x,atr_trail,-99.08,-99.12,-4.95,0.46,1478,1233,-75.01
10_Supertrend_Bull,atr_trail_2.5x,atr_trail,-98.76,-98.83,-5.06,0.5,1202,1137,-75.31
2_EMA_Cross_21_55,atr_trail_2.5x,atr_trail,-99.2,-99.23,-5.79,0.46,1434,1313,-78.61
1_EMA_Cross_12_26,atr_trail_2.0x,atr_trail,-99.9,-99.9,-7.92,0.32,2123,1911,-88.02
1_EMA_Cross_12_26,chandelier_2.0x,chandelier,-99.92,-99.92,-8.12,0.31,2055,1841,-88.9
10_Supertrend_Bull,atr_trail_2.0x,atr_trail,-99.86,-99.86,-8.48,0.34,1767,1721,-90.34
10_Supertrend_Bull,chandelier_2.0x,chandelier,-99.9,-99.9,-8.87,0.32,1729,1686,-92.01
2_EMA_Cross_21_55,atr_trail_2.0x,atr_trail,-99.93,-99.93,-9.33,0.33,2093,1997,-93.95
2_EMA_Cross_21_55,chandelier_2.0x,chandelier,-99.94,-99.94,-9.52,0.32,2039,1941,-94.78
