strategy,stop_loss,stop_kind,period,return_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits
2_EMA_Cross_21_55,fixed_20pct,fixed_pct,bull_2016_2017,1565.05,-35.23,2.76,3.38,43.51,131,1
2_EMA_Cross_21_55,trail_5pct,trail_pct,bull_2016_2017,-80.47,-83.9,-0.88,0.88,39.49,276,173
2_EMA_Cross_21_55,trail_8pct,trail_pct,bull_2016_2017,37.36,-66.5,0.59,1.33,38.2,178,63
2_EMA_Cross_21_55,trail_10pct,trail_pct,bull_2016_2017,187.61,-59.16,1.17,1.65,41.67,156,33
2_EMA_Cross_21_55,trail_12pct,trail_pct,bull_2016_2017,335.8,-51.47,1.5,1.95,41.1,146,20
2_EMA_Cross_21_55,trail_15pct,trail_pct,bull_2016_2017,405.16,-51.27,1.62,2.05,41.43,140,13
2_EMA_Cross_21_55,trail_20pct,trail_pct,bull_2016_2017,677.75,-37.61,1.99,2.5,42.34,137,7
2_EMA_Cross_21_55,atr_fix_1.5x,atr_fixed,bull_2016_2017,270.96,-68.42,1.4,1.81,28.39,236,149
2_EMA_Cross_21_55,atr_fix_2.0x,atr_fixed,bull_2016_2017,386.27,-65.03,1.62,1.96,33.99,203,100
2_EMA_Cross_21_55,atr_fix_2.5x,atr_fixed,bull_2016_2017,558.56,-55.9,1.89,2.18,36.11,180,75
2_EMA_Cross_21_55,atr_fix_3.0x,atr_fixed,bull_2016_2017,636.26,-53.05,2.0,2.29,37.5,168,60
2_EMA_Cross_21_55,atr_fix_4.0x,atr_fixed,bull_2016_2017,733.04,-55.63,2.08,2.39,42.95,149,33
2_EMA_Cross_21_55,atr_trail_2.0x,atr_trail,bull_2016_2017,-100.0,-100.0,-8.7,0.32,29.23,1389,1334
2_EMA_Cross_21_55,atr_trail_2.5x,atr_trail,bull_2016_2017,-99.96,-99.96,-5.48,0.45,32.56,949,876
2_EMA_Cross_21_55,atr_trail_3.0x,atr_trail,bull_2016_2017,-99.54,-99.59,-3.71,0.57,34.12,721,642
2_EMA_Cross_21_55,atr_trail_4.0x,atr_trail,bull_2016_2017,-90.41,-94.93,-1.46,0.82,35.82,469,382
2_EMA_Cross_21_55,chandelier_2.0x,chandelier,bull_2016_2017,-100.0,-100.0,-8.76,0.31,27.26,1350,1289
2_EMA_Cross_21_55,chandelier_3.0x,chandelier,bull_2016_2017,-99.5,-99.56,-3.67,0.56,34.06,687,606
2_EMA_Cross_21_55,breakeven_5pct,breakeven,bull_2016_2017,646.0,-58.35,1.98,2.34,37.41,147,21
2_EMA_Cross_21_55,breakeven_8pct,breakeven,bull_2016_2017,821.02,-57.56,2.17,2.55,41.18,136,9
2_EMA_Cross_21_55,breakeven_10pct,breakeven,bull_2016_2017,845.01,-57.56,2.19,2.57,42.54,134,7
2_EMA_Cross_21_55,fix_low20_b0.5,fixed_swing,bull_2016_2017,711.95,-55.82,2.06,2.35,43.28,134,16
2_EMA_Cross_21_55,trail_low20_b0.5,trail_swing,bull_2016_2017,1800.18,-32.69,2.95,3.66,43.08,130,0
2_EMA_Cross_21_55,break_low5,break_low,bull_2016_2017,480.84,-59.83,1.77,2.06,37.97,158,54
2_EMA_Cross_21_55,entry_low_b0.5,entry_low,bull_2016_2017,214.04,-67.34,1.26,1.71,29.3,215,122
2_EMA_Cross_21_55,trade_low_b0.5,trade_swing,bull_2016_2017,1800.18,-32.69,2.95,3.66,43.08,130,0
2_EMA_Cross_21_55,time_48h,time_stop,bull_2016_2017,1483.21,-33.75,2.77,3.27,41.1,146,23
2_EMA_Cross_21_55,time_72h,time_stop,bull_2016_2017,1740.49,-32.85,2.92,3.58,42.65,136,9
2_EMA_Cross_21_55,time_120h,time_stop,bull_2016_2017,1800.18,-32.69,2.95,3.66,43.08,130,0
10_Supertrend_Bull,sin_SL,none,bull_2016_2017,2662.0,-26.92,3.51,3.62,54.15,205,0
10_Supertrend_Bull,fixed_3pct,fixed_pct,bull_2016_2017,586.36,-41.8,1.99,1.94,48.71,232,46
10_Supertrend_Bull,fixed_5pct,fixed_pct,bull_2016_2017,887.14,-41.23,2.33,2.23,52.09,215,20
10_Supertrend_Bull,fixed_8pct,fixed_pct,bull_2016_2017,1431.09,-37.9,2.74,2.67,53.85,208,7
10_Supertrend_Bull,fixed_10pct,fixed_pct,bull_2016_2017,1869.59,-28.68,3.01,3.04,54.15,205,2
10_Supertrend_Bull,fixed_12pct,fixed_pct,bull_2016_2017,1869.59,-28.68,3.01,3.04,54.15,205,2
10_Supertrend_Bull,fixed_15pct,fixed_pct,bull_2016_2017,1869.59,-28.68,3.01,3.04,54.15,205,2
10_Supertrend_Bull,fixed_20pct,fixed_pct,bull_2016_2017,2292.89,-28.68,3.26,3.36,54.15,205,1
10_Supertrend_Bull,trail_5pct,trail_pct,bull_2016_2017,5.83,-55.92,0.36,1.24,44.06,286,119
10_Supertrend_Bull,trail_8pct,trail_pct,bull_2016_2017,286.12,-48.0,1.46,1.74,50.66,229,40
10_Supertrend_Bull,trail_10pct,trail_pct,bull_2016_2017,748.69,-43.92,2.16,2.16,51.63,215,17
10_Supertrend_Bull,trail_12pct,trail_pct,bull_2016_2017,955.41,-43.92,2.38,2.3,52.36,212,11
10_Supertrend_Bull,trail_15pct,trail_pct,bull_2016_2017,1094.91,-43.96,2.48,2.42,53.11,209,7
10_Supertrend_Bull,trail_20pct,trail_pct,bull_2016_2017,1824.27,-35.33,3.01,2.95,53.62,207,3
10_Supertrend_Bull,atr_fix_1.5x,atr_fixed,bull_2016_2017,260.58,-53.16,1.42,1.67,35.09,342,198
10_Supertrend_Bull,atr_fix_2.0x,atr_fixed,bull_2016_2017,450.62,-43.61,1.79,1.85,40.69,290,140
10_Supertrend_Bull,atr_fix_2.5x,atr_fixed,bull_2016_2017,734.55,-34.33,2.18,2.1,46.46,254,99
10_Supertrend_Bull,atr_fix_3.0x,atr_fixed,bull_2016_2017,891.85,-33.28,2.33,2.26,48.73,236,75
10_Supertrend_Bull,atr_fix_4.0x,atr_fixed,bull_2016_2017,1126.42,-32.5,2.53,2.45,52.56,215,38
10_Supertrend_Bull,atr_trail_2.0x,atr_trail,bull_2016_2017,-99.99,-99.99,-7.56,0.35,29.17,1176,1147
10_Supertrend_Bull,atr_trail_2.5x,atr_trail,bull_2016_2017,-99.53,-99.6,-4.17,0.54,31.9,790,753
10_Supertrend_Bull,atr_trail_3.0x,atr_trail,bull_2016_2017,-95.59,-97.32,-2.32,0.72,34.46,592,544
10_Supertrend_Bull,atr_trail_4.0x,atr_trail,bull_2016_2017,-56.0,-87.49,-0.37,1.06,39.14,373,311
10_Supertrend_Bull,chandelier_2.0x,chandelier,bull_2016_2017,-99.99,-99.99,-7.72,0.34,27.34,1145,1115
10_Supertrend_Bull,chandelier_3.0x,chandelier,bull_2016_2017,-96.45,-97.33,-2.46,0.68,35.08,573,520
10_Supertrend_Bull,breakeven_5pct,breakeven,bull_2016_2017,1077.93,-41.57,2.5,2.45,52.34,214,15
10_Supertrend_Bull,breakeven_8pct,breakeven,bull_2016_2017,1283.75,-41.57,2.65,2.56,53.11,209,9
10_Supertrend_Bull,breakeven_10pct,breakeven,bull_2016_2017,1340.54,-41.57,2.69,2.6,53.59,209,8
10_Supertrend_Bull,fix_low20_b0.5,fixed_swing,bull_2016_2017,1110.88,-40.25,2.5,2.47,53.33,210,19
10_Supertrend_Bull,trail_low20_b0.5,trail_swing,bull_2016_2017,2636.44,-26.92,3.5,3.62,54.37,206,1
10_Supertrend_Bull,break_low5,break_low,bull_2016_2017,864.26,-42.31,2.29,2.23,51.36,220,42
10_Supertrend_Bull,entry_low_b0.5,entry_low,bull_2016_2017,338.13,-45.93,1.59,1.72,40.14,284,131
10_Supertrend_Bull,trade_low_b0.5,trade_swing,bull_2016_2017,2662.0,-26.92,3.51,3.62,54.15,205,0
10_Supertrend_Bull,time_48h,time_stop,bull_2016_2017,2442.5,-26.92,3.42,3.45,52.34,214,15
10_Supertrend_Bull,time_72h,time_stop,bull_2016_2017,2647.84,-26.92,3.51,3.61,53.88,206,1
10_Supertrend_Bull,time_120h,time_stop,bull_2016_2017,2662.0,-26.92,3.51,3.62,54.15,205,0
1_EMA_Cross_12_26,sin_SL,none,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,fixed_3pct,fixed_pct,bull_2020_2021,108.88,-45.33,1.4,1.63,35.47,172,28
1_EMA_Cross_12_26,fixed_5pct,fixed_pct,bull_2020_2021,170.58,-44.18,1.8,1.84,36.36,165,5
1_EMA_Cross_12_26,fixed_8pct,fixed_pct,bull_2020_2021,205.03,-40.95,2.0,1.95,37.42,163,2
1_EMA_Cross_12_26,fixed_10pct,fixed_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,fixed_12pct,fixed_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,fixed_15pct,fixed_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,fixed_20pct,fixed_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,trail_5pct,trail_pct,bull_2020_2021,-58.57,-79.94,-1.03,0.93,29.44,231,97
1_EMA_Cross_12_26,trail_8pct,trail_pct,bull_2020_2021,70.09,-48.57,1.11,1.54,37.14,175,17
1_EMA_Cross_12_26,trail_10pct,trail_pct,bull_2020_2021,132.34,-43.57,1.59,1.74,37.5,168,6
1_EMA_Cross_12_26,trail_12pct,trail_pct,bull_2020_2021,155.58,-40.95,1.75,1.8,36.97,165,3
1_EMA_Cross_12_26,trail_15pct,trail_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,trail_20pct,trail_pct,bull_2020_2021,216.33,-38.91,2.07,1.99,37.42,163,0
1_EMA_Cross_12_26,atr_fix_1.5x,atr_fixed,bull_2020_2021,44.46,-53.31,0.85,1.42,31.9,210,94
1_EMA_Cross_12_26,atr_fix_2.0x,atr_fixed,bull_2020_2021,92.7,-46.43,1.29,1.58,34.78,184,60
1_EMA_Cross_12_26,atr_fix_2.5x,atr_fixed,bull_2020_2021,134.67,-45.15,1.59,1.72,36.26,171,32
1_EMA_Cross_12_26,atr_fix_3.0x,atr_fixed,bull_2020_2021,157.77,-42.7,1.73,1.8,36.14,166,16
1_EMA_Cross_12_26,atr_fix_4.0x,atr_fixed,bull_2020_2021,188.3,-39.56,1.91,1.9,36.59,164,5
1_EMA_Cross_12_26,atr_trail_2.0x,atr_trail,bull_2020_2021,-99.81,-99.81,-9.53,0.35,26.42,704,621
1_EMA_Cross_12_26,atr_trail_2.5x,atr_trail,bull_2020_2021,-98.15,-98.23,-5.88,0.5,29.46,499,406
1_EMA_Cross_12_26,atr_trail_3.0x,atr_trail,bull_2020_2021,-93.08,-93.5,-3.79,0.59,29.77,383,278
1_EMA_Cross_12_26,atr_trail_4.0x,atr_trail,bull_2020_2021,-48.23,-72.64,-0.7,1.0,30.43,253,133
1_EMA_Cross_12_26,chandelier_2.0x,chandelier,bull_2020_2021,-99.84,-99.84,-9.85,0.33,27.33,688,604
1_EMA_Cross_12_26,chandelier_3.0x,chandelier,bull_2020_2021,-90.97,-91.52,-3.38,0.63,31.68,363,248
1_EMA_Cross_12_26,breakeven_5pct,breakeven,bull_2020_2021,141.41,-44.96,1.65,1.79,36.84,171,12
1_EMA_Cross_12_26,breakeven_8pct,breakeven,bull_2020_2021,177.61,-40.85,1.87,1.9,37.58,165,4
1_EMA_Cross_12_26,breakeven_10pct,breakeven,bull_2020_2021,177.16,-40.95,1.87,1.9,37.2,164,3
1_EMA_Cross_12_26,fix_low20_b0.5,fixed_swing,bull_2020_2021,180.86,-39.59,1.87,1.85,36.36,165,10
1_EMA_Cross_12_26,trail_low20_b0.5,trail_swing,bull_2020_2021,222.39,-38.91,2.1,1.99,37.42,163,1
1_EMA_Cross_12_26,break_low5,break_low,bull_2020_2021,107.32,-48.48,1.39,1.6,34.71,170,40
